pid,potential_poi
2324,"[473, 429, 3098, 1354, 2917, 4088, 1464, 2544, 614, 3099, 2744, 20, 1389, 2188, 1759, 2083]"
473,"[1195, 1075, 101, 3793, 1105, 2261, 1638, 2923, 2047, 2804, 5041, 645, 1713, 3146, 2031, 2373, 2839]"
1195,"[667, 3012, 1713, 2876, 3601, 473, 5048, 4402, 2932, 3755, 2676, 1737, 1923, 1053, 4567, 3540, 3524]"
1638,"[3074, 31, 1886, 835, 1075, 192, 190, 83, 2417, 2227, 557, 1036, 1392, 1804, 1015, 1638, 1004, 1951, 3019, 2964, 700, 882, 2688, 3393, 324, 1577, 2430, 2038, 1799, 595, 499, 870, 1380, 1984, 3303, 707, 1055, 4518, 3155, 738, 2968, 3358, 3568, 2544, 3185, 3477, 1435, 3349, 4775, 1308, 5079, 1899, 1966, 1998, 1318, 3740, 2434, 2067, 2439, 352, 1511, 1713, 510, 4149, 1595, 1039, 3871, 2715, 3254, 3029, 887, 1917, 1042, 2294, 1609, 2477, 4912, 1173, 2516, 3968, 2326, 717, 429, 4561, 947, 2626, 1540, 406, 4729, 2913, 78, 5020]"
3074,"[665, 1982, 2037, 364, 3977, 61, 3303, 4789, 2895, 3653, 31, 406, 3733, 2237, 3551, 887, 1638, 2293, 3855, 1745, 3074, 69, 3599, 3150, 2694, 246]"
1077,"[1202, 2067, 3639, 1886, 3045, 2640, 1133, 149, 3324, 2810, 682, 856, 84, 1346, 993, 1557, 1540, 887, 254, 2293, 4008, 2126, 3953, 102, 3749, 3312, 3208, 2671, 4782]"
4238,"[4276, 1024, 647, 1138, 1399, 3168]"
4276,"[229, 3838, 2680, 87, 3771, 891, 288, 151, 882, 1087, 2341, 643, 660, 682, 1354, 751, 4276, 1925, 1010, 3265, 2916, 2477, 1957, 337, 3166, 2027, 3621, 897, 2326, 3354, 3721, 1494]"
229,"[2324, 1018, 3361, 2459, 4104, 3194, 141, 500, 2409, 1475, 406, 727, 1373, 2845, 2518, 3397, 2348]"
429,"[1872, 1088, 3051, 2566, 188, 614, 103, 83, 3181, 429, 3529, 249, 1887, 3601, 2044, 4432, 1889, 5075, 2536, 3325, 3395, 1638, 1729, 4676]"
4388,"[4388, 376, 777, 667, 431, 3882, 665, 324]"
2447,"[3982, 4611, 1872, 4150, 4042, 708, 2384, 1292, 3043, 1077, 134, 1087, 4929, 4969]"
3982,"[667, 3065, 61, 1842, 1635, 1178, 2788, 4582, 1848, 4929, 93]"
2732,"[4388, 23, 676, 406, 875, 2732, 3658, 3413]"
777,"[4388, 777, 101, 3882, 3436, 944, 801, 2646, 434, 452, 1094, 723, 3035, 23, 1349, 305, 2603, 2492, 2084, 170, 1015]"
101,"[667, 3653, 2269, 473, 337, 531, 61]"
3436,"[667, 162, 3670, 3847, 458, 709, 4541, 1356, 2812, 23, 3436, 4640, 3299, 1283, 179, 4567, 1807, 3656, 3160, 76]"
58,"[301, 2271, 58, 2727, 2948, 1205, 331, 3075, 4256, 3838]"
301,"[176, 58, 2727, 301, 2948, 331, 3075, 3602, 1205, 2271, 4256]"
1159,"[1183, 785, 1554, 1710, 3323, 1159, 3504, 61]"
1183,"[1864, 1310, 4574, 286, 1183, 4050, 4679, 176, 324, 159, 3605, 4544, 2172, 257, 2654, 2239, 3105, 147, 1503, 3285, 1950, 1782, 1389, 2300, 3796, 4531, 1919, 4999, 4279, 3007]"
2253,"[58, 301, 2727, 2948, 3033]"
2271,"[58, 2948, 2435, 207, 1611, 182, 4243, 2271, 2332, 4589]"
2727,"[2271, 301, 2948, 58, 3882, 331, 1205, 2253]"
2948,"[301, 2271, 58, 2253, 3075]"
3075,"[58, 2948, 4256, 3602, 2952, 582, 2350, 2360]"
1205,"[2727, 3758, 2253, 581, 2442, 4574, 849, 270, 2952, 3088, 466, 2415, 575, 3938, 995, 2911, 3168, 1120, 4341, 2377, 3285, 1188, 4385, 2294, 5060, 597, 4961]"
3602,"[58, 331, 324, 609, 4072, 3402]"
3758,"[58, 3871, 2130, 2107, 1640, 2172, 3543, 4366, 4285]"
4256,"[2948, 4276, 301, 58]"
3838,"[4292, 3852, 72, 2350]"
4292,"[1933, 2107]"
60,"[63, 2843, 1113, 2947, 4796, 2889]"
63,"[64, 2243, 866, 1369]"
64,"[583, 590, 2611, 2557, 2947, 3497]"
583,"[584, 1958, 585, 1113, 2243]"
584,"[585, 590]"
585,"[64, 2620]"
590,"[593, 63, 64, 2947, 897]"
593,"[1111, 593, 60, 2620, 3394, 2622, 3376, 2949, 3399, 4524]"
1111,"[1113, 1269, 590, 4695]"
1113,"[1114, 63, 2949, 60, 593, 1113, 866, 3811]"
1114,"[1958, 590, 583, 2780, 1334]"
1958,"[1960, 2550, 2745, 2513, 1958, 1113]"
1960,[1963]
1963,[1111]
2243,"[1958, 2243]"
2550,"[2458, 4361, 324, 2641, 1555]"
2458,"[2513, 2458, 2745, 1113, 684, 880, 324]"
2513,"[2112, 684, 2557, 334, 40, 3209, 102, 839, 442, 1075, 427, 2577, 1237, 600, 2851, 1541, 3320, 2739, 738, 1925, 798, 0, 23, 2268, 4240, 494, 4534, 3678, 2289, 1526, 343, 1904, 370, 2714, 56, 2017, 2984, 4714, 4850]"
2112,"[2557, 2945, 943, 946, 2803, 2575, 4524, 4235, 3106, 4227, 4199, 2112, 4730]"
2557,"[1111, 2112, 583, 2557, 577, 643, 1522, 4227]"
2611,[2620]
2620,"[583, 64, 2458]"
2745,"[2458, 3134, 1812, 2481, 1325]"
684,"[943, 583, 2513, 151, 4088, 406, 1487, 335, 883, 3099, 1172, 226, 1918, 1576, 2352, 3676, 3331]"
943,"[593, 529, 416, 893, 2134, 2803, 2112, 946, 2163, 1, 3052, 170]"
2843,[590]
2945,"[583, 4662]"
2947,"[60, 1113, 2184]"
2949,"[1111, 593, 2622, 3394]"
1269,"[2184, 1579, 3638, 3436, 4195, 1576, 2985, 2183, 4893, 2386, 249]"
2184,"[2458, 3146, 2111, 2854, 2797, 4477, 4474]"
3134,"[1958, 2224]"
3146,"[1958, 2714, 1010, 278, 573, 1490, 3885, 2172, 1183, 2821, 102, 4600, 2521, 442, 3889, 2889, 1]"
3497,"[2917, 3372, 2466, 128, 2512, 3497, 102, 498, 1863, 3675]"
2917,"[2745, 284, 3930, 288, 3274, 645, 4546]"
2606,"[2606, 4689, 2827, 61, 2225, 3830, 4724, 2563, 90, 3239, 3354, 2417, 573, 1516, 600, 3641, 1303, 921]"
4689,"[324, 2451, 4724, 2606, 3921, 4689, 1592, 4648, 406, 2827]"
2451,"[1215, 284, 187, 3969, 2744, 1802, 1381, 2569, 1021, 2288, 370, 994, 2547, 1580, 2469, 580, 1778, 2322, 20, 1659, 195, 3674, 509, 945, 4375, 3538, 4297, 2714, 363, 1400, 3977, 3175]"
1215,"[4648, 463, 1142, 891, 1215, 1480, 1579, 3624, 1990, 102, 1744, 249, 807, 3211, 333, 4317, 3325, 172, 260]"
4648,"[4689, 23, 4648, 3727]"
4724,"[4689, 2606, 4174, 2827, 4724, 3727]"
2827,"[4689, 2225, 2606, 4724, 4648, 324, 90, 3239, 48, 77, 2827, 1000, 573]"
3921,[4076]
4076,"[4689, 885, 4148, 61, 2047, 1893, 4076, 3593, 1252, 1797, 3019, 2518, 549, 366, 1609, 381, 3953, 324]"
76,"[61, 324, 77, 151, 1528, 3499, 3853, 674, 4372, 247, 3615, 76, 1622, 1659, 2765, 1075, 2297, 310, 986, 4028, 1851, 1731, 3681, 1095, 1356, 845, 3159, 1322, 357, 1872, 4611, 3350, 1108, 759, 2519, 1724, 1611, 2851, 1789, 176, 2816, 1629, 1885, 1668, 917, 134, 1609, 1196, 956, 1417, 3231, 318, 2512, 3068, 1729, 1726, 2694, 4463, 1848, 1464, 1145, 3795, 3598, 2537, 1480, 458, 2964, 4509, 2084, 36, 406, 2468, 3246, 3890, 714, 102, 660, 3729, 3412, 2521, 3223, 2489, 2913, 3769, 23, 1578, 3975, 3764, 3052, 3148, 1918, 1362]"
2820,"[4689, 2823, 406, 61, 3521, 3658, 23, 897, 1824, 1514]"
2237,"[4689, 1155, 1430, 510, 3401, 1638, 312, 443, 1856, 1903, 4086]"
2225,"[4689, 324, 4724, 2225, 2606, 90, 2827, 1000, 573, 600, 2057]"
4174,"[2225, 4005, 1661, 192, 4073, 4732]"
1444,"[4689, 1638, 61, 1718, 2467, 1935, 151, 2083, 2241]"
3830,"[406, 2903, 61, 3844, 1193, 827, 3848, 580, 287, 3830, 2613, 4513, 899, 1237]"
62,"[1109, 2234, 3322, 328, 1440, 684, 292, 102, 2224, 1555, 3150, 4150, 3053, 1578, 668, 257, 3745, 3397, 2336]"
1109,"[1293, 328, 3199, 2176, 289, 3554, 375, 4361, 3081]"
1293,"[1109, 2940, 36, 324, 1008, 807, 294, 5064, 1872, 979, 2292, 2895, 4386, 4222, 3519, 1578]"
649,"[1293, 1649, 4398, 324, 2687, 138, 691, 3452, 2970, 1526, 1389, 4158, 2069]"
2940,"[1109, 2729, 3224, 3343, 1565, 3590, 2940, 2423, 3960, 4321, 2749, 1885, 499, 1982]"
3199,"[3210, 969, 1282, 324, 1950, 2997, 3199, 2986, 406, 1703, 2519, 1308]"
3210,"[324, 4402, 146, 3895, 389, 2712, 332, 1653, 93, 2105, 2668, 1219, 3646]"
1649,"[312, 149, 851, 3742, 3151, 1315, 1798, 3143, 4754]"
2105,"[2176, 149, 2817, 4963, 3136, 883, 2105, 357, 2927, 3306, 250, 91, 280, 3748, 3446, 3077, 3491, 2806, 2872]"
2176,"[1109, 649, 2381, 1293, 82, 2669, 2234, 2176, 3562, 1635, 1639, 4633, 2986, 3369, 1038, 3291, 761, 1671, 4460, 3540]"
4398,"[2381, 2176, 1109, 324, 3330, 3291, 2722, 4801, 950, 2234]"
2381,"[4398, 82, 289, 178, 1991, 357]"
289,"[289, 349, 1577, 62, 2176, 1392, 91, 2687, 490, 1862, 61, 56]"
349,"[2176, 4511, 1802, 443, 2147, 3242, 2006, 2862]"
396,"[2381, 4551, 396, 721, 1477, 751, 343, 4218, 4593, 1300]"
3554,"[289, 4377, 671, 1657, 1376]"
2234,"[4398, 2939, 2323, 1030, 1333, 2234, 1018, 4114, 3848, 1020, 2673, 3114, 515, 3580, 4135, 4075, 950, 2895, 2169, 3020, 1872, 328, 4552, 2501, 4494]"
2690,"[82, 1952, 4291, 36, 2587, 176, 708, 3371, 1224, 62, 3046, 245, 3790, 4150, 2494]"
65,"[469, 207, 2513, 151, 2549, 3655, 65, 3296, 23, 249]"
469,"[1012, 4539, 903, 2308, 195, 490, 4016, 4859]"
1012,"[65, 999, 1012, 889, 1157, 2199, 3627, 759, 406, 4028, 1632, 3595, 2478, 2495, 1429, 1534, 61, 434, 3725, 883, 3102, 1749, 490]"
207,"[1771, 1075, 3413, 131, 4818, 3871, 208, 249, 1087, 2666, 1574, 3785, 4439, 1528, 3233, 1842, 2667, 159, 147, 4634, 2746, 745, 3976, 324, 4223, 1773]"
1771,"[65, 1154, 1785, 2336, 2838, 1033, 614, 3845, 897, 3628, 2937, 427, 1173, 4182, 2470]"
334,"[65, 4488, 783, 369, 1653, 1772, 3260, 4135, 4520, 459, 4638, 1762]"
2549,"[2861, 2230, 441, 3015, 845, 4547, 2548, 1982, 1712]"
2861,"[102, 3276, 3136, 1956, 927]"
1505,"[65, 1505, 334, 761, 525, 76, 84, 2474, 383, 2662, 1219, 4761]"
3655,"[3296, 3655, 996, 3354, 2452, 65, 4818, 337, 1198, 1313, 262, 727, 2822, 3345, 2275, 1502]"
3296,"[3679, 3132, 3068, 324, 2387, 3084, 371, 2288, 3146]"
3679,"[65, 4303, 2702, 2863, 1292, 2065, 1555, 727, 2164, 2088, 1303, 3902, 1758, 3887, 370, 1582, 1729, 708, 1030]"
3132,"[151, 1212, 2762, 2539, 3640, 1594, 2322, 1060, 249, 607, 4527]"
152,"[3808, 269, 1232, 76, 151, 1342, 3428, 249, 3499, 77, 3213, 1996, 688, 7]"
3808,"[65, 207, 2764, 59, 798, 76, 1400, 3057]"
4488,"[3692, 1475, 2010, 2859, 3099, 2522, 4488, 499, 4381, 4166, 3141]"
3692,"[2861, 3276, 2512, 4683, 3162, 2127, 61, 1737, 2917, 617]"
3413,"[3345, 1736, 2694, 3267, 1224, 2529, 4458, 2483, 2895, 311]"
3345,"[65, 4291, 4896, 3948, 3812, 727, 298, 82, 3345, 1998, 2196, 354, 947, 2491, 175]"
3354,"[151, 3424, 2162, 123, 2980, 1632, 4442, 2605, 61, 3354, 3485, 4132, 3816, 4205, 4276, 4213, 3668, 4616, 2770, 4223, 4786, 3927]"
2926,"[996, 3689, 247, 3615, 3837, 366, 849, 4426, 1759, 1557, 337, 3346, 226]"
493,"[3655, 563, 1736, 1832, 2298, 2176, 2985, 2551, 3679, 3772, 1611, 2762, 3876, 1621, 1222, 3224, 2788]"
2452,"[4507, 3655, 493, 186, 102, 129, 1193, 1198, 20]"
4507,"[3655, 2057, 4242, 474, 4775, 1521, 1925]"
4818,"[4818, 534, 3655, 2452]"
534,"[4542, 938, 83, 826, 683, 457, 2712, 1318, 4370]"
4542,"[996, 1615, 2541, 4598, 2179, 4542, 1627, 1729, 2084, 2714, 1918, 4370, 129]"
131,"[4818, 230, 2423, 3664, 406, 441, 2314, 3359, 1910, 1484, 2905, 4110, 2051, 131, 3529, 2596, 1459, 4188, 3345]"
337,"[3655, 938, 835, 312, 249, 4463, 4233, 3527, 993, 337, 1249, 442, 61, 1872, 2610, 1366, 1385, 489, 504, 1614, 283, 825, 759, 968, 1493, 1256, 1135, 102, 2138, 3319, 2905, 2129, 3434, 4172, 4008, 1609, 1381, 3830, 3843, 2858, 1567, 4534, 3592, 4567, 517, 1682, 2305, 3567, 1576, 2816, 3733, 324, 2512, 329, 3102, 245, 2379, 2275, 3720, 3776, 1903, 3057, 2733, 1659, 3340, 3524, 4950, 4775, 357, 2686, 3710, 3327, 1485, 2876, 3605, 1638, 2293, 3893, 3303, 3968, 1998, 47, 4514, 2244, 3106, 83]"
1198,"[65, 3607, 3776, 2707, 761, 2176, 1490, 1306, 3666, 2762, 1635, 1670, 76, 2916, 3114, 3780, 2862, 3722, 1863, 3787, 2537]"
70,"[646, 2680, 551, 3841, 3171, 832, 2293, 4206, 549, 2699]"
646,"[646, 70, 1838, 2680, 3171, 2720, 551, 728, 4096, 3902]"
2680,"[646, 551, 2680, 3171, 2720, 4096, 1, 4276]"
1838,"[70, 378, 867, 2453, 2036, 1570, 1390, 4495]"
551,"[3171, 70, 2680, 646, 1107, 166, 908, 1712, 642, 1390, 2227]"
3171,"[2680, 70, 3171, 2720, 3064, 3203, 3206, 1584, 84]"
3841,"[2680, 565, 2579]"
2720,"[2680, 70, 646, 613, 2339, 2240, 4038, 617, 4801, 232, 357]"
4096,"[646, 1350, 241, 4370]"
728,"[551, 737, 83]"
2851,"[3207, 1537, 1531, 3473, 1803, 2691, 3087, 1812, 499, 2326, 709, 3855, 1493, 1998, 2749, 2858, 2289, 1578, 4282, 1923, 4409, 3115, 4355, 3024, 1558, 1161]"
3207,"[580, 1096, 309, 456, 2495, 2199, 4099, 3238, 2537, 1553, 2471, 1577, 3722, 1198, 4075, 18, 3401, 3273]"
460,"[2234, 278, 1188, 1577, 102, 3974, 2388, 515]"
2939,"[551, 2270, 3672, 2224, 1533, 493, 3779, 4417, 1779, 1635, 335, 1458, 3716, 3786, 4189, 4282, 1659, 2939, 2139, 36, 4137, 3139, 2527, 4913]"
3064,"[646, 295, 4361]"
3902,"[70, 3735, 288, 2139, 1749, 1988, 3791]"
72,"[115, 72, 1864, 3011, 3838, 257, 2411, 2568]"
115,"[72, 4573, 115, 176]"
1919,"[72, 467, 3589, 2239, 1036]"
3011,"[72, 1526, 1710, 3011, 2411, 418]"
1526,"[72, 4159, 324, 4826, 61, 2952, 93, 1526, 1686, 4717, 2062, 675, 681, 1093, 995, 4110, 1913, 3482, 1504, 1779, 4072, 333, 4945, 4523, 4158, 4047, 1600, 3821, 357]"
1710,"[72, 2398, 3323, 1655, 176, 1890, 1554, 598, 3582]"
3852,"[3838, 4312]"
2411,"[72, 3011, 2411, 4895, 2061]"
4312,"[3011, 4376, 4906, 159, 4544]"
74,"[145, 321, 1912, 563, 74, 2315, 3935, 333, 2117]"
363,"[421, 74, 4291, 1340, 206, 1965, 1603, 293, 3233, 257, 1670, 536, 4263, 1451, 387, 363, 1464, 1925, 950, 1632, 328, 400, 1103, 883, 507, 145, 385, 3123, 604, 406, 3792, 844, 2087, 4321, 2001, 3027, 3807, 2068, 324, 1358, 3732, 516, 1791, 5073, 4230, 3099, 1589, 1649, 3814, 2457, 3390, 2937, 2477, 5016, 310, 169, 4152, 2844, 1612, 3776, 208, 151, 4555, 357, 4618, 3206, 1592, 1678, 833, 3346, 2135, 3092]"
421,"[563, 1912, 324, 2315, 1602]"
563,"[74, 83, 563, 421, 145, 2117, 2644, 333, 3212, 2390, 2452]"
321,"[563, 410, 87, 1323, 1904, 208, 314, 1509, 1109, 1219, 1669, 321, 1174, 1148, 1538, 1945, 2238, 382, 3220, 2023, 439, 814, 333, 527, 2796, 3756, 4465, 2501, 2212, 598, 24, 4628, 5055, 4675]"
83,"[1622, 2723, 83, 3051, 3451, 2378, 358, 139, 1044, 2989, 259, 1821, 23, 3190, 1252, 2925, 151, 613, 2319, 324, 3492, 2055, 565, 3841, 1961, 1725, 664, 1879, 4893, 3211, 826, 534, 876, 1772, 312, 61, 3526, 2274, 2919, 2110, 4711, 3643, 1851, 1059, 1627, 452, 1644, 2823, 380, 2227, 3627, 3640, 2783, 1015, 3528, 170, 1030, 1051, 897, 607, 3380, 2566, 4257, 491, 3076, 4606, 102, 1042, 2724, 337, 2244]"
1622,"[1622, 169, 4300, 617, 335, 324, 2895, 2227, 1262, 3455, 1145, 2047, 4801, 516, 4206, 1709, 3433, 3927, 4907]"
169,"[129, 2257, 3229, 4436, 454, 413, 1670, 3172, 1208, 2673, 1360, 3644, 1755, 2848, 169, 1607, 1411, 3876, 3814, 2180, 2964, 2098, 2438, 249, 2547, 1724, 2393, 4013, 3931, 1545, 1757, 3798, 4530, 4332, 121, 4658, 4752, 2977, 2647, 4851, 292]"
129,"[563, 1, 759, 169, 2409, 1321, 643, 577, 324, 364, 2171, 1360, 3142, 1755, 121, 2257, 2730, 2003, 4542, 1908, 1385, 3798, 3026, 2438, 2098, 4401, 129, 2414, 1055, 2311, 1570, 406, 1550, 148, 3644, 4332, 2178, 2149]"
1912,"[2117, 563, 324, 1720, 1832]"
2117,"[563, 2315, 74, 1277, 2117, 324, 443, 2010]"
2315,"[321, 2315, 563, 456, 421]"
410,"[74, 610, 314, 251, 2811, 3410, 3874, 4656, 890, 309, 220, 2276, 3207, 1051, 333, 324, 1202, 1343, 321, 1526, 3756, 3150, 3658, 1671, 1950, 527, 61, 3540, 2267, 2851, 410, 1464, 1441, 1578, 1293, 6, 3900, 2357, 3135]"
3212,"[2815, 2858, 1055, 3419, 102, 4229, 1571, 3150, 2805, 3931, 1824, 3886]"
2815,"[2117, 1925, 498, 759, 3595, 1212, 23, 2607, 3296, 406, 2865, 4383, 2112]"
2644,"[563, 76, 530, 3246, 4379, 789, 1423]"
2858,"[2117, 849, 5002, 4893, 4259, 3043, 442, 1389, 2288, 312, 1381, 1659, 241]"
2390,"[324, 2227, 856, 682, 1316, 4754, 2914]"
3935,"[3949, 1416, 3390, 971, 3935, 2174, 3391, 1057]"
3949,"[2117, 1971, 4930, 1131, 4875, 3593, 1594]"
456,"[421, 93, 3019, 2897, 151, 445, 1075, 1982, 3709, 152, 3088, 1735, 4200, 899, 1993, 5077, 887, 2695, 2020, 4670]"
1602,"[1464, 2844, 1671, 1602, 363, 4513]"
1464,"[1611, 1466, 2298, 2001, 1484, 1104, 3312, 2817, 3847, 82, 1925, 4303, 3848, 738, 851, 342, 879, 1839, 2875, 3151, 4146, 36, 2653, 2088, 1315, 507, 3348, 1434, 364, 2898, 3139, 215, 1202, 2390, 2810]"
1611,"[2644, 1742, 1791, 182, 3517, 2927, 899, 3273, 1935, 2903, 2317, 4893, 2275, 288, 2730, 1555, 4413, 2662, 226, 3822, 1313, 474]"
75,"[31, 75, 254, 1872, 328, 2470, 1179, 462, 2041, 3482, 1998]"
352,"[254, 1682, 1359, 2810, 61, 389, 3895, 337, 993, 352, 4357, 283, 1249, 1638, 3681, 4288, 855, 1462, 31, 2076, 3884, 1325, 3084, 1777, 1925, 2721, 2863, 3495, 402]"
2688,"[254, 1886, 105, 4175, 284, 2335, 1617, 1613, 1692, 1610, 1678, 1707, 4654, 249, 337, 4073, 2437]"
2470,"[254, 31, 280, 2660, 3527, 5019, 3605]"
2614,"[2940, 2790, 3324, 4135, 2617, 1966, 1576, 1541]"
2729,"[75, 559, 4950, 3132, 3777, 2480, 2747, 3295, 2334, 2729, 4185]"
2652,"[1873, 2719, 2926, 151, 1207, 2669, 226, 375, 1627, 1875, 549, 4504, 2289]"
3494,"[2828, 3494, 362, 1325, 1576, 4560, 5000, 324, 3380]"
1607,"[1576, 70, 1669, 3994, 1864, 1737]"
77,"[134, 152, 76, 151, 1000, 4801]"
134,"[151, 152, 311, 2865, 986, 1119, 1870, 851, 1885, 3981, 4667, 3068, 1075, 2607, 3760, 3324, 378, 2805, 3170, 4683, 4757, 1085, 1799, 249]"
1232,"[76, 3240, 134, 151, 684, 3499, 3428, 1342, 3754, 3042, 1018]"
1342,"[77, 1232, 1381, 3428, 1344, 4720, 378]"
3240,"[152, 3836, 3078, 3041, 3372, 923, 2023, 2976, 2113, 950, 1315, 2207, 3249, 2166, 2688, 4618, 3098, 2669]"
3428,"[77, 3499, 1232, 151, 76, 1342, 152, 1967, 2554, 132, 614]"
3499,"[77, 3428, 1232, 1342]"
1620,"[952, 3510, 292, 4217, 406, 4188, 3419, 3359, 2212, 3892, 36, 1620]"
3766,"[1446, 785, 995, 3766, 2420, 1507]"
1389,"[82, 226, 4228, 455, 4829, 1389, 1019, 84, 849, 2341, 854, 324, 1093, 249, 1301, 2154, 3278, 4731, 333, 2241, 4283, 1659, 3791, 793, 1205, 3340, 3105, 1506, 828, 2915, 4654, 207, 3880, 406, 3910, 649, 4955, 3345, 4853, 4999, 4850, 2244, 1255, 1614, 4961]"
3683,"[374, 3516, 3683, 48, 257, 226, 82, 3687]"
1957,"[1446, 263, 2911, 219, 2677, 1503, 439, 3284, 2834, 1645, 1614, 4890, 3683, 4824]"
3230,"[1446, 2004, 1093, 995, 380, 176]"
1535,"[226, 1093, 4505, 2654]"
3756,"[226, 413, 572, 3063, 751, 3556, 1015, 2661, 321, 1652, 3756, 325, 2482]"
4861,"[1715, 2003, 257, 3683, 4861, 1794, 4480, 176, 5060, 1652, 1015, 1053]"
80,"[712, 2347, 102, 1704, 3210, 293, 693, 1044, 2788, 1794, 249, 2513, 1659, 172, 4106]"
712,"[712, 443, 1886, 2809, 1576, 1571, 3639, 1077, 328, 102]"
1886,"[1042, 712, 2809, 2688, 1638, 1886, 4179, 1792, 2209, 1936]"
1042,"[712, 1886, 189, 102, 1587, 970, 395, 1095, 226, 1042, 1906, 324, 2293, 429, 598, 3994, 4876, 170, 3044, 3411]"
2809,"[328, 712, 2961, 1886, 3528]"
2921,"[712, 4543, 3070, 2572, 61, 2294, 3282, 3521, 1659, 4836]"
1571,"[35, 149, 3424, 1743, 337, 1571, 1753, 968, 2834, 4661, 3265, 2659, 3016, 2946]"
35,"[1077, 36, 834, 324, 1015, 2797, 2854, 3191, 2273, 333, 1682, 3331, 3994]"
2067,"[3639, 169, 113, 1018, 2661, 365, 3252, 713, 714, 1394, 1993, 1042, 2067, 324, 1389, 4075, 3275, 3528]"
3639,"[3516, 443, 799, 2609]"
799,"[2809, 365, 1002, 2859, 960, 324]"
2961,"[1638, 210, 805, 4181, 3988, 1134, 1887, 2961, 3592, 1889, 195]"
3528,"[2809, 1886, 1576, 2976, 565, 83, 578, 1644, 142, 321, 227, 1561, 3549, 36, 644, 373, 1018, 3021, 3528, 31, 406, 1015, 2116]"
4179,"[1886, 4168, 2907, 2293, 1925, 2872, 1632, 4199, 4875]"
1792,"[1775, 2890, 3673, 4793, 4603, 1876, 3372, 1733, 3694, 3209, 3006, 2437, 82]"
1775,"[1638, 1864, 1586, 1588, 2572, 4220, 2451, 1959]"
1936,"[2609, 1224, 31, 1018, 2626, 991, 1937, 337]"
2609,"[1077, 797, 729, 1266, 498, 1325]"
81,"[31, 950, 591, 3849, 4235, 416, 4180]"
1652,"[489, 1830, 962, 498, 1099, 672, 3465, 3185, 671, 1652, 2544, 1349, 61, 1170, 3105, 4254, 4956, 4821]"
489,"[3359, 3465, 1364, 1052, 246, 190, 4356, 489, 924, 1366, 101, 504, 3099, 4357, 337, 249, 707, 1112, 1646, 2218, 2587, 1729, 2967, 29, 3449, 324, 726, 3717, 3999]"
3359,"[324, 4795, 105, 1462, 3055, 759, 2610, 1104, 1038, 3359, 2959, 1096, 2536, 3892, 2467, 3683, 666, 102, 3078, 1293, 2020, 403, 31, 4186, 3254, 2166, 3965, 1131, 2209, 1463, 3099, 3234]"
1170,"[2169, 1933, 257, 3392, 1639, 3930, 2915, 2192, 998, 2731, 2584, 1525, 531, 1475, 672, 1490, 3511, 849, 2751, 961, 1638, 2374, 2163, 1018, 2716, 3951, 2004, 1295, 3114, 1389, 2108, 1170, 3585, 1935, 4279, 2585, 2996, 4600, 2350, 78, 3038, 1147, 2742, 2457, 4029, 4272, 3298, 828, 81, 3018, 4156, 207, 1938, 24, 4745, 2626, 5060, 2816, 3495]"
2169,"[489, 1278, 2744, 3487, 4202, 66, 2114, 326, 170, 1053, 4002]"
3465,"[4036, 827, 671, 3609, 4438, 4255]"
4036,"[2547, 3991]"
2547,"[950, 2840, 321, 332, 2393, 3540, 2900, 1445]"
950,"[1528, 3341, 1075, 1203, 921, 387, 748, 674, 102, 798, 1520, 1866, 2359, 950, 1824, 3246, 1191, 2321, 2919, 2564, 4588, 4319, 559, 1758, 2016, 3145, 2023, 2653, 2959, 3097, 2513, 2330, 175, 1757, 1313, 3537, 1951, 3290]"
526,"[81, 102, 1491, 1313, 4863]"
3341,"[4795, 61, 1662, 4805, 3164, 4605, 3593]"
4795,"[2501, 406, 324, 526, 3534, 4795, 3106, 114, 1170, 1444]"
2501,"[2876, 1643, 2816, 682, 3363, 2501, 1712, 4303, 3193, 249, 1493, 2932, 1030]"
1754,"[2116, 215, 4775, 2883, 3248, 645, 4104, 1004, 823, 2388, 867, 2940, 5065, 3524]"
2116,"[3359, 3871, 1561]"
1491,"[4795, 526, 226, 394, 1099, 1830, 3065, 1580, 1864, 498, 3534]"
1161,"[3824, 4515, 1925, 83, 412, 3038, 3112, 2527, 2688, 3434, 4240, 4557, 950, 2357, 5041, 1191, 2898, 1015, 3140, 4904, 2876, 4903, 1152, 614, 4262, 3144]"
3824,"[504, 149, 1785, 229, 3777, 2875, 3377, 3294, 377, 292]"
504,"[4795, 3622, 1092, 4508, 508, 919, 504, 838, 2998, 1018, 2314, 2187, 2899, 3733, 337, 598, 4419, 3546, 3430, 82, 35, 1996, 2651, 3732, 1758, 4280, 498, 5067, 4863, 4938, 4934, 3883, 1580, 4933, 3174, 249]"
85,"[85, 1022, 1048, 2914, 2719, 3822, 375, 2756, 3306, 4808, 1917, 336, 763, 4973, 4134, 318, 2613, 2726, 3272]"
1022,"[1048, 363, 2049, 4098, 2347, 5075, 102, 1964, 669]"
1048,"[1739, 2719]"
1739,"[1595, 3539, 2041, 4166, 2289, 4269, 1018, 3295]"
1595,"[1981, 885, 1659, 2127, 616, 3692, 370, 1717, 3437, 175, 1595, 4155, 1614, 3592, 179]"
